number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
10541,2022-02-10,SAZL.CZC,SAZL2,1.0000,20.0000,"5,495.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10542,2022-02-09,SAZL.CZC,SAZL2,1.0000,20.0000,"5,306.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10543,2022-02-08,SAZL.CZC,SAZL2,1.0000,20.0000,"5,356.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10544,2022-02-07,SAZL.CZC,SAZL2,1.0000,20.0000,"5,317.2000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10545,2022-01-28,SAZL.CZC,SAZL2,1.0000,20.0000,"6,285.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10546,2022-01-27,SAZL.CZC,SAZL2,1.0000,20.0000,"6,175.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10547,2022-01-26,SAZL.CZC,SAZL2,1.0000,20.0000,"4,919.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10548,2022-01-25,SAZL.CZC,SAZL2,1.0000,20.0000,"4,820.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10549,2022-01-24,SAZL.CZC,SAZL2,1.0000,20.0000,"4,861.8000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10550,2022-01-21,SAZL.CZC,SAZL2,1.0000,20.0000,"4,793.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
10551,2022-01-20,SAZL.CZC,SAZL2,1.0000,20.0000,"4,649.4000",--,3.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
