number,time,thscode,ths_future_code_future,ths_mini_chg_price_future,ths_contract_multiplier,ths_trade_deposit_future,ths_transaction_procedure_rate_future,ths_transaction_procedure_fee_future,ths_open_time_day_future,ths_close_time_day_future,ths_open_time_night_future,ths_close_time_night_future,ths_exchange_name_eng_future,
4685,2021-06-18,RMZL.CZC,RMZL2,1.0000,10.0000,"1,957.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4686,2021-06-17,RMZL.CZC,RMZL2,1.0000,10.0000,"2,010.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4687,2021-06-16,RMZL.CZC,RMZL2,1.0000,10.0000,"2,030.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4688,2021-06-15,RMZL.CZC,RMZL2,1.0000,10.0000,"2,044.7000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4689,2021-06-11,RMZL.CZC,RMZL2,1.0000,10.0000,"2,136.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4690,2021-06-10,RMZL.CZC,RMZL2,1.0000,10.0000,"2,127.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4691,2021-06-09,RMZL.CZC,RMZL2,1.0000,10.0000,"2,142.7000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4692,2021-06-08,RMZL.CZC,RMZL2,1.0000,10.0000,"2,125.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4693,2021-06-07,RMZL.CZC,RMZL2,1.0000,10.0000,"2,102.1000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4694,2021-06-04,RMZL.CZC,RMZL2,1.0000,10.0000,"2,074.1000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4695,2021-06-03,RMZL.CZC,RMZL2,1.0000,10.0000,"2,098.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4696,2021-06-02,RMZL.CZC,RMZL2,1.0000,10.0000,"2,092.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4697,2021-06-01,RMZL.CZC,RMZL2,1.0000,10.0000,"2,077.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4698,2021-05-31,RMZL.CZC,RMZL2,1.0000,10.0000,"2,071.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4699,2021-05-28,RMZL.CZC,RMZL2,1.0000,10.0000,"2,066.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4700,2021-05-27,RMZL.CZC,RMZL2,1.0000,10.0000,"2,037.7000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4701,2021-05-26,RMZL.CZC,RMZL2,1.0000,10.0000,"2,048.9000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4702,2021-05-25,RMZL.CZC,RMZL2,1.0000,10.0000,"2,057.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4703,2021-05-24,RMZL.CZC,RMZL2,1.0000,10.0000,"2,041.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4704,2021-05-21,RMZL.CZC,RMZL2,1.0000,10.0000,"2,065.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4705,2021-05-20,RMZL.CZC,RMZL2,1.0000,10.0000,"2,074.1000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4706,2021-05-19,RMZL.CZC,RMZL2,1.0000,10.0000,"1,796.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4707,2021-05-18,RMZL.CZC,RMZL2,1.0000,10.0000,"1,806.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4708,2021-05-17,RMZL.CZC,RMZL2,1.0000,10.0000,"1,801.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4709,2021-05-14,RMZL.CZC,RMZL2,1.0000,10.0000,"1,817.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4710,2021-05-13,RMZL.CZC,RMZL2,1.0000,10.0000,"1,873.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4711,2021-05-12,RMZL.CZC,RMZL2,1.0000,10.0000,"1,901.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4712,2021-05-11,RMZL.CZC,RMZL2,1.0000,10.0000,"1,861.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4713,2021-05-10,RMZL.CZC,RMZL2,1.0000,10.0000,"1,888.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4714,2021-05-07,RMZL.CZC,RMZL2,1.0000,10.0000,"1,902.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4715,2021-05-06,RMZL.CZC,RMZL2,1.0000,10.0000,"1,867.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4716,2021-04-30,RMZL.CZC,RMZL2,1.0000,10.0000,"2,724.3000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4717,2021-04-29,RMZL.CZC,RMZL2,1.0000,10.0000,"2,730.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4718,2021-04-28,RMZL.CZC,RMZL2,1.0000,10.0000,"1,822.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4719,2021-04-27,RMZL.CZC,RMZL2,1.0000,10.0000,"1,844.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4720,2021-04-26,RMZL.CZC,RMZL2,1.0000,10.0000,"1,837.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4721,2021-04-23,RMZL.CZC,RMZL2,1.0000,10.0000,"1,825.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4722,2021-04-22,RMZL.CZC,RMZL2,1.0000,10.0000,"1,819.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4723,2021-04-21,RMZL.CZC,RMZL2,1.0000,10.0000,"1,803.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4724,2021-04-20,RMZL.CZC,RMZL2,1.0000,10.0000,"1,774.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4725,2021-04-19,RMZL.CZC,RMZL2,1.0000,10.0000,"1,743.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4726,2021-04-16,RMZL.CZC,RMZL2,1.0000,10.0000,"2,798.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4727,2021-04-15,RMZL.CZC,RMZL2,1.0000,10.0000,"2,800.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4728,2021-04-14,RMZL.CZC,RMZL2,1.0000,10.0000,"1,699.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4729,2021-04-13,RMZL.CZC,RMZL2,1.0000,10.0000,"1,726.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4730,2021-04-12,RMZL.CZC,RMZL2,1.0000,10.0000,"1,774.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4731,2021-04-09,RMZL.CZC,RMZL2,1.0000,10.0000,"1,776.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4732,2021-04-08,RMZL.CZC,RMZL2,1.0000,10.0000,"1,767.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4733,2021-04-07,RMZL.CZC,RMZL2,1.0000,10.0000,"1,768.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4734,2021-04-06,RMZL.CZC,RMZL2,1.0000,10.0000,"1,776.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4735,2021-04-02,RMZL.CZC,RMZL2,1.0000,10.0000,"1,782.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4736,2021-04-01,RMZL.CZC,RMZL2,1.0000,10.0000,"1,765.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4737,2021-03-31,RMZL.CZC,RMZL2,1.0000,10.0000,"1,703.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4738,2021-03-30,RMZL.CZC,RMZL2,1.0000,10.0000,"1,722.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4739,2021-03-29,RMZL.CZC,RMZL2,1.0000,10.0000,"1,738.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4740,2021-03-26,RMZL.CZC,RMZL2,1.0000,10.0000,"1,745.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4741,2021-03-25,RMZL.CZC,RMZL2,1.0000,10.0000,"1,731.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4742,2021-03-24,RMZL.CZC,RMZL2,1.0000,10.0000,"1,707.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4743,2021-03-23,RMZL.CZC,RMZL2,1.0000,10.0000,"1,688.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4744,2021-03-22,RMZL.CZC,RMZL2,1.0000,10.0000,"1,717.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4745,2021-03-19,RMZL.CZC,RMZL2,1.0000,10.0000,"1,705.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4746,2021-03-18,RMZL.CZC,RMZL2,1.0000,10.0000,"1,709.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4747,2021-03-17,RMZL.CZC,RMZL2,1.0000,10.0000,"1,707.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4748,2021-03-16,RMZL.CZC,RMZL2,1.0000,10.0000,"1,681.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4749,2021-03-15,RMZL.CZC,RMZL2,1.0000,10.0000,"1,642.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4750,2021-03-12,RMZL.CZC,RMZL2,1.0000,10.0000,"1,634.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4751,2021-03-11,RMZL.CZC,RMZL2,1.0000,10.0000,"1,635.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4752,2021-03-10,RMZL.CZC,RMZL2,1.0000,10.0000,"1,704.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4753,2021-03-09,RMZL.CZC,RMZL2,1.0000,10.0000,"1,745.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4754,2021-03-08,RMZL.CZC,RMZL2,1.0000,10.0000,"1,755.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4755,2021-03-05,RMZL.CZC,RMZL2,1.0000,10.0000,"1,709.4000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4756,2021-03-04,RMZL.CZC,RMZL2,1.0000,10.0000,"1,708.2000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4757,2021-03-03,RMZL.CZC,RMZL2,1.0000,10.0000,"1,719.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4758,2021-03-02,RMZL.CZC,RMZL2,1.0000,10.0000,"1,719.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4759,2021-03-01,RMZL.CZC,RMZL2,1.0000,10.0000,"1,728.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4760,2021-02-26,RMZL.CZC,RMZL2,1.0000,10.0000,"2,966.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4761,2021-02-25,RMZL.CZC,RMZL2,1.0000,10.0000,"1,836.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4762,2021-02-24,RMZL.CZC,RMZL2,1.0000,10.0000,"1,825.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4763,2021-02-23,RMZL.CZC,RMZL2,1.0000,10.0000,"1,786.8000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4764,2021-02-22,RMZL.CZC,RMZL2,1.0000,10.0000,"1,776.0000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
4765,2021-02-19,RMZL.CZC,RMZL2,1.0000,10.0000,"1,758.6000",--,1.5000,9:00:00,15:00:00,21:00:00,23:00:00,CZCE,
